title,ratings
Speedy Gonzales,7.3
Ten Minutes Older: The Trumpet,7.3
The Scent of Green Papaya,7.3
Murder in the First,7.3
The Firm,7.3
David Copperfield,7.3
The Man in the White Suit,7.3
Little Women,7.3
Mr. Blandings Builds His Dream House,7.3
Women in Love,7.3
Tarzan and His Mate,7.3
Chocolat,7.3
The General,7.3
Before the Devil Knows You're Dead,7.3
A Foreign Affair,7.3
Heartland,7.3
Kitchen Stories,7.3
Crossfire,7.3
Shadows,7.3
Lammbock,7.3
You Were Never Lovelier,7.3
It's All Gone Pete Tong,7.3
Hitler: The Rise of Evil,7.3
National Velvet,7.3
"Gandhi, My Father",7.3
L'Auberge espagnole,7.3
House of Games,7.3
Ten Minutes Older: The Trumpet,7.3
Looking for Richard,7.3
A Brief History of Time,7.3
The Bubble,7.3
Nil by Mouth,7.3
Facing Windows,7.3
Nuremberg,7.3
Czech Dream,7.3
Czech Dream,7.3
Drømmen,7.3
Offside,7.3
Four Shades of Brown,7.3
The Bothersome Man,7.3
Antwone Fisher,7.3
Ten Minutes Older: The Trumpet,7.3
Ten Minutes Older: The Trumpet,7.3
The Man from Snowy River,7.3
Brand upon the Brain!,7.3
Manufactured Landscapes,7.3
The Unbearable Lightness of Being,7.3
7:35 in the Morning,7.3
Capote,7.3
Trinity Is Still My Name,7.3
Lunacy,7.3
Sing Faster: The Stagehands' Ring Cycle,7.3
Pride of the Marines,7.3
Page 3,7.3
Grosse Pointe Blank,7.3
The Great Train Robbery,7.3
Ten Minutes Older: The Trumpet,7.3
Dawn of the Dead,7.3
Watch on the Rhine,7.3
Watch on the Rhine,7.3
Dracula,7.3
Cinderella,7.3
Peter Pan,7.3
Going Places,7.3
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",7.3
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",7.3
Tarzan and His Mate,7.3
Cinderella,7.3
Peter Pan,7.3
Powaqqatsi,7.3
Hare Rama Hare Krishna,7.3
Camille Claudel,7.3
Cinderella,7.3
Peter Pan,7.3
The Emperor and the Assassin,7.2
Protégé,7.2
The Bank Job,7.2
The Buddy Holly Story,7.2
Children of a Lesser God,7.2
"Paris, je t'aime",7.2
It Should Happen to You,7.2
Gentlemen Prefer Blondes,7.2
The Horse Soldiers,7.2
Born to Kill,7.2
Saboteur,7.2
Broken Embraces,7.2
What Have I Done to Deserve This?,7.2
Guys and Dolls,7.2
Lethal Weapon 2,7.2
"Paris, je t'aime",7.2
The Yakuza,7.2
Men of Honor,7.2
Ping Pong,7.2
A River Runs Through It,7.2
An American in Paris,7.2
"Paris, je t'aime",7.2
San Francisco,7.2
"Paris, je t'aime",7.2
Of Human Bondage,7.2
"Paris, je t'aime",7.2
Black Christmas,7.2
The Big Trail,7.2
The Spirit of St. Louis,7.2
The Beguiled,7.2
Ashes of Time,7.2
"Paris, je t'aime",7.2
The Young Lions,7.2
The Hospital,7.2
The Matrix Reloaded,7.2
Trio,7.2
"Paris, je t'aime",7.2
Le Grand Voyage,7.2
War and Peace,7.2
Tsotsi,7.2
Frailty,7.2
The Yearling,7.2
Songcatcher,7.2
"Paris, je t'aime",7.2
Love & Basketball,7.2
San Francisco,7.2
In Which We Serve,7.2
Mongol,7.2
Broadcast News,7.2
The Fourth Man,7.2
The World According to Garp,7.2
Claudine,7.2
Claudine,7.2
An Englishman in New York,7.2
"Fast, Cheap & Out of Control",7.2
"Paris, je t'aime",7.2
We Were Soldiers,7.2
Habana Blues,7.2
The Life of Emile Zola,7.2
The Education of Little Tree,7.2
Parineeta,7.2
The Flying Dutchman,7.2
Fire,7.2
Thursday,7.2
Imaginary Heroes,7.2
Human Resources,7.2
The Decline of the American Empire,7.2
"Paris, je t'aime",7.2
Dasavathaaram,7.2
"Paris, je t'aime",7.2
City Streets,7.2
Raising Victor Vargas,7.2
Fellini's Casanova,7.2
Phantom Lady,7.2
"Paris, je t'aime",7.2
Three Seasons,7.2
Cold Mountain,7.2
The Shepherdess and the Chimneysweep,7.2
In the Line of Fire,7.2
Troy,7.2
A Bug's Life,7.2
"Paris, je t'aime",7.2
"Farewell, Home Sweet Home",7.2
Friday Night Lights,7.2
"Paris, je t'aime",7.2
Broken Arrow,7.2
The Far Country,7.2
"Paris, je t'aime",7.2
Swordsman II,7.2
Cemetery Man,7.2
Home Room,7.2
Aalavandhan,7.2
Something like Happiness,7.2
"Paris, je t'aime",7.2
Cactus Flower,7.2
From Dusk till Dawn,7.2
Astitva,7.2
Fear of a Black Hat,7.2
Gadar: Ek Prem Katha,7.2
The Chipmunk Adventure,7.2
A Tale of Two Sisters,7.2
Chi-hwa-seon,7.2
Bright Leaves,7.2
Wild Flowers,7.2
Lili Marleen,7.2
Sweet Mud,7.2
Any Way the Wind Blows,7.2
Sweet and Lowdown,7.2
"Paris, je t'aime",7.2
"Paris, je t'aime",7.2
Trio,7.2
In Which We Serve,7.2
"Paris, je t'aime",7.2
Loggerheads,7.2
The Woman in Black,7.2
Animal Farm,7.2
Animal Farm,7.2
A Bug's Life,7.2
"Paris, je t'aime",7.2
"Paris, je t'aime",7.2
Gumnaam,7.2
El Bola,7.2
Babylon 5: A Call to Arms,7.2
The Powerpuff Girls,7.2
The Great Mouse Detective,7.2
Final Fantasy VII: Advent Children,7.2
The Great Mouse Detective,7.2
The Great Mouse Detective,7.2
The Great Mouse Detective,7.2
Election,7.1
Anchors Aweigh,7.1
The Blade,7.1
Body of Lies,7.1
Mississippi Mermaid,7.1
Dominick and Eugene,7.1
"Good Morning, Night",7.1
My Favorite Season,7.1
Porgy and Bess,7.1
Wagon Master,7.1
Belle Époque,7.1
Shutter,7.1
Foolish Wives,7.1
Foolish Wives,7.1
Casualties of War,7.1
Dressed to Kill,7.1
"I, Robot",7.1
Running Time,7.1
Law of Desire,7.1
High Heels,7.1
The 9th Company,7.1
The Inner Circle,7.1
Angel-A,7.1
Valkyrie,7.1
Croupier,7.1
The Day of the Locust,7.1
Bedknobs and Broomsticks,7.1
Moonstruck,7.1
Kings and Queen,7.1
A Christmas Tale,7.1
The Sunshine Boys,7.1
The Private Lives of Elizabeth and Essex,7.1
Soylent Green,7.1
Project A Part II,7.1
The Star,7.1
Swimming with Sharks,7.1
Sweet Dreams,7.1
The Nazis Strike,7.1
Magnificent Obsession,7.1
Clash by Night,7.1
The Nazis Strike,7.1
Marley & Me,7.1
Road to Morocco,7.1
Tais-toi !,7.1
Tommy Boy,7.1
The Hit,7.1
Blithe Spirit,7.1
Chan Is Missing,7.1
Porgy and Bess,7.1
In the Soup,7.1
Sayonara,7.1
Homicide,7.1
The State of Things,7.1
Still Crazy,7.1
Regular Lovers,7.1
Last Night,7.1
April Captains,7.1
A Midnight Clear,7.1
Mother Night,7.1
Shutter,7.1
Brothers,7.1
Itinéraire d'un enfant gâté,7.1
"OSS 117: Cairo, Nest of Spies",7.1
Seven Years in Tibet,7.1
The United States of Leland,7.1
My Boy Jack,7.1
Porgy and Bess,7.1
Dog Days,7.1
I Always Wanted to Be a Gangster,7.1
Of Freaks and Men,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Mr. Bug Goes to Town,7.1
Forgetting Sarah Marshall,7.1
The Sea That Thinks,7.1
Two Hands,7.1
The Moving True Story of a Woman Ahead of Her Time,7.1
Nineteen Eighty-Four,7.1
Eye of the Needle,7.1
None Shall Escape,7.1
The Decameron,7.1
Blade,7.1
"Niagara, Niagara",7.1
Adam & Paul,7.1
Silmido,7.1
The Host,7.1
"I'm a Cyborg, But That's OK",7.1
Thirst,7.1
Spirit: Stallion of the Cimarron,7.1
Journey from the Fall,7.1
The Shoes of the Fisherman,7.1
Our Song,7.1
Human Traffic,7.1
Passport to Pimlico,7.1
A Love Song for Bobby Long,7.1
The Curse of Frankenstein,7.1
The 40-Year-Old Virgin,7.1
The Laramie Project,7.1
9,7.1
Adolescence of Utena,7.1
Spirit: Stallion of the Cimarron,7.1
Brewster McCloud,7.0
The Lost Battalion,7.0
Hum Tum,7.0
Tickets,7.0
The Biggest Heroes,7.0
Pretty Woman,7.0
April,7.0
Jackass Number Two,7.0
A Double Life,7.0
Tickets,7.0
The Big Sky,7.0
The War at Home,7.0
Batman Returns,7.0
The House on Telegraph Hill,7.0
One True Thing,7.0
The Chronicle of Anna Magdalena Bach,7.0
The Chronicle of Anna Magdalena Bach,7.0
Tigerland,7.0
Breezy,7.0
Charlie Wilson's War,7.0
Cross Creek,7.0
River's Edge,7.0
The Young Lieutenant,7.0
Tickets,7.0
Radio Flyer,7.0
The Indian Runner,7.0
The Pirate,7.0
Holes,7.0
The Mummy,7.0
Crooklyn,7.0
Eskimo,7.0
Tarzan the Ape Man,7.0
Anna and the King of Siam,7.0
Katyń,7.0
Deathtrap,7.0
What Have You Done to Solange?,7.0
Cool and Crazy,7.0
Dillinger,7.0
Look Both Ways,7.0
Modern Romance,7.0
Radio Flyer,7.0
Boy Meets Girl,7.0
Red Rock West,7.0
Liam,7.0
Dirty Dancing,7.0
Hallam Foe,7.0
The Isle,7.0
Peas at 5:30,7.0
Felicia's Journey,7.0
The Limey,7.0
The Italian Job,7.0
Zabriskie Point,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Time Bandits,7.0
Deewana,7.0
Startup.com,7.0
Promise Me This,7.0
Hollywood Shuffle,7.0
Retour à Gorée,7.0
Opera,7.0
Stones,7.0
Unleashed,7.0
The Last Station,7.0
Rush Hour,7.0
Jellyfish,7.0
Jellyfish,7.0
Waqt: The Race Against Time,7.0
Cowards Bend the Knee,7.0
Angel Baby,7.0
The Curse,7.0
Ruby in Paradise,7.0
Love's Abiding Joy,7.0
Polyester,7.0
House of D,7.0
Little Vera,7.0
The Merchant of Venice,7.0
Black Angel,7.0
Rambo,7.0
Uncle Buck,7.0
Startup.com,7.0
Muppet Treasure Island,7.0
Respiro,7.0
The Christmas Card,7.0
Grandma's Boy,7.0
The Rainmaker,7.0
Sparkle,7.0
Latter Days,7.0
Emma,7.0
PTU,6.9
Mad Max,6.9
Bully,6.9
The Chinese Feast,6.9
Othello,6.9
"11'09""01 September 11",6.9
Trekkies,6.9
Any Given Sunday,6.9
Something Wild,6.9
Stripes,6.9
Jar City,6.9
Goya's Ghosts,6.9
Vanilla Sky,6.9
Cromwell,6.9
"11'09""01 September 11",6.9
The Guardian,6.9
"11'09""01 September 11",6.9
Lost and Delirious,6.9
Evil Angels,6.9
Hot Millions,6.9
Prospero's Books,6.9
Don't Bother to Knock,6.9
"Goodbye, Mr. Chips",6.9
"East Side, West Side",6.9
The Intruder,6.9
The Fox and the Child,6.9
Four Daughters,6.9
The Wind and the Lion,6.9
Colonel Chabert,6.9
Love Story,6.9
The Rookie,6.9
The Muppets Take Manhattan,6.9
The Lady and the Duke,6.9
How to Marry a Millionaire,6.9
The Assignment,6.9
Detroit Rock City,6.9
"11'09""01 September 11",6.9
Gulliver's Travels,6.9
The Cooler,6.9
Grand Canyon,6.9
Bonjour tristesse,6.9
Che Part 2: Guerrilla,6.9
Set It Off,6.9
Homeward Bound: The Incredible Journey,6.9
Humanité,6.9
Serendipity,6.9
Gardens of the Night,6.9
Saving Grace,6.9
Ghosts,6.9
"Bell, Book and Candle",6.9
Black Snake Moan,6.9
"11'09""01 September 11",6.9
Hulchul,6.9
Adventures in Babysitting,6.9
The Luzhin Defence,6.9
Me You Them,6.9
Everybody's Famous!,6.9
Café Lumière,6.9
"11'09""01 September 11",6.9
"11'09""01 September 11",6.9
Return to Me,6.9
Towelhead,6.9
Chokher Bali,6.9
"11'09""01 September 11",6.9
The Best Day of My Life,6.9
The Crimson Rivers,6.9
The House of the Spirits,6.9
Radio,6.9
"11'09""01 September 11",6.9
The Cutting Edge,6.9
What's Cooking?,6.9
Partition,6.9
Chico,6.9
Atlantis: The Lost Empire,6.9
Heights,6.9
Local Color,6.9
Swindled,6.9
Nuovomondo,6.9
"11'09""01 September 11",6.9
"11'09""01 September 11",6.9
Rob Roy,6.9
Digging to China,6.9
The Seven-Ups,6.9
Cats Don't Dance,6.9
La residencia,6.9
Out of Sight,6.9
Coming Out,6.9
Arthur,6.9
Atlantis: The Lost Empire,6.9
Perhaps Love,6.8
Hannibal,6.8
Existenz,6.8
The Long Kiss Goodnight,6.8
Claire Dolan,6.8
The American President,6.8
Ms. 45,6.8
Welcome to Sarajevo,6.8
Our Town,6.8
1408,6.8
Joe,6.8
Le Dernier Combat,6.8
Hellboy,6.8
Brigadoon,6.8
Bugsy,6.8
The Falcon and the Snowman,6.8
Cypher,6.8
Role Models,6.8
Copying Beethoven,6.8
French Connection II,6.8
Bruce Almighty,6.8
The Black Swan,6.8
"Cry, the Beloved Country",6.8
Beauty in Trouble,6.8
MirrorMask,6.8
Unconditional Love,6.8
Heaven's Gate,6.8
One Touch of Venus,6.8
Rendition,6.8
Vodka Lemon,6.8
50 First Dates,6.8
9 to 5,6.8
Jeopardy,6.8
Cover Girl,6.8
Murderous Maids,6.8
Jane Eyre,6.8
Leonard Cohen: I'm Your Man,6.8
Grow Your Own,6.8
Hell,6.8
Rise of the Footsoldier,6.8
Hardware Wars,6.8
Presenting Lily Mars,6.8
The Cyclone,6.8
Kadosh,6.8
White Men Can't Jump,6.8
All Dogs Go to Heaven,6.8
The Thomas Crown Affair,6.8
Intermission,6.8
Last Exit to Brooklyn,6.8
The Other Side of Sunday,6.8
Red Dust,6.8
Shoot to Kill,6.8
Game Over: Kasparov and the Machine,6.8
Tristan & Isolde,6.8
Morvern Callar,6.8
Love Sick,6.8
Cheeni Kum,6.8
Coffy,6.8
Buddy,6.8
2:37,6.8
"Sexo, pudor y lágrimas",6.8
Rush,6.8
Clubbed,6.8
A Chef in Love,6.8
Holly,6.8
The Sea,6.8
National Treasure,6.8
The Tango Lesson,6.8
Carol's Journey,6.8
The Carriers Are Waiting,6.8
Happenstance,6.8
Under the Sun of Satan,6.8
Loulou,6.8
Under the Tuscan Sun,6.8
Shark Skin Man and Peach Hip Girl,6.8
Logan's Run,6.8
Tenacious D in The Pick of Destiny,6.8
The Price of Milk,6.8
Frankenstein Must Be Destroyed,6.8
One Hour Photo,6.8
Wizards of Waverly Place,6.8
Something Wicked This Way Comes,6.8
Wizards of Waverly Place,6.8
Meet the Robinsons,6.8
Wizards of Waverly Place,6.8
Brother Bear,6.8
Brother Bear,6.8
Prizzi's Honor,6.7
Rosenstraße,6.7
Sunshine State,6.7
Short Circuit,6.7
The Bone Collector,6.7
Wicked City,6.7
On Her Majesty's Secret Service,6.7
Lajja,6.7
Coldblooded,6.7
The Hireling,6.7
Sudden Impact,6.7
Comedy of Innocence,6.7
Paranoid Park,6.7
Notorious,6.7
Summer of Sam,6.7
Get on the Bus,6.7
My Best Friend,6.7
Bite the Bullet,6.7
The Brothers Karamazov,6.7
Dan in Real Life,6.7
Algiers,6.7
Esther Kahn,6.7
Alles auf Zucker!,6.7
The Pillow Book,6.7
The Gay Sisters,6.7
Washington Square,6.7
Bon Voyage,6.7
Anne of the Indies,6.7
The Soloist,6.7
The Mother,6.7
Cocoon,6.7
Backdraft,6.7
Angels & Demons,6.7
The Case of the Scorpion's Tail,6.7
Purely Belter,6.7
Paperhouse,6.7
Down to the Bone,6.7
Rock 'n' Roll High School,6.7
Driving Lessons,6.7
Tumbleweeds,6.7
Fido,6.7
The King,6.7
Hamlet,6.7
Focus,6.7
The Matador,6.7
Mute Witness,6.7
Garam Masala,6.7
The Eye,6.7
The Eye,6.7
Nine Lives,6.7
Renaissance,6.7
The Diary of Anne Frank,6.7
I Do,6.7
Hot Rod,6.7
A Walk in the Clouds,6.7
Waiting for the Messiah,6.7
Love and Human Remains,6.7
The Brave One,6.7
Water Lilies,6.7
New Jersey Drive,6.7
The Incredible Hulk,6.7
Forbidden Zone,6.7
The Adventures of Sebastian Cole,6.7
Kalifornia,6.7
The Theory of Flight,6.7
Girlfight,6.7
Guys and Balls,6.7
The Waterdance,6.7
Presque rien,6.7
The Running Man,6.7
Unstrung Heroes,6.7
27 Missing Kisses,6.7
Outrage,6.7
A Chinese Ghost Story III,6.7
Monsieur N.,6.7
The Preacher,6.7
Jalla! Jalla!,6.7
Scotland,6.7
A Perfect Couple,6.7
Funky Forest,6.7
Four for Venice,6.7
Deceiver,6.7
scoop,6.7
Shadows and Fog,6.7
Upswing,6.7
Armageddon,6.7
The Land Has Eyes,6.7
Blood and Bone,6.7
Robin Hood: Men in Tights,6.7
Snow Queen,6.7
Deceiver,6.7
Fatal Fury: The Motion Picture,6.7
Red Satin,6.7
Ride with the Devil,6.7
The BFG,6.7
Algiers,6.7
Algiers,6.7
Batman: Mystery of the Batwoman,6.7
Babylon 5: The River of Souls,6.7
Dead & Buried,6.6
Nightbreed,6.6
Caravaggio,6.6
White Squall,6.6
Class of 1984,6.6
The Polar Express,6.6
The Greatest Show on Earth,6.6
Marilyn Hotchkiss' Ballroom Dancing and Charm School,6.6
Flatliners,6.6
Wonderland,6.6
Down Argentine Way,6.6
"Corrina, Corrina",6.6
"After Dark, My Sweet",6.6
